branche,grenzgaenger,beschaeftigte_total,grenzgaenger_anteil
Recht,10724,62792,0.1708
Dienstleistungen,76427,449339,0.1701
Beratung,27332,169185,0.1616
ICT,29454,204509,0.144
Sicherheit,2469,17583,0.1404
Industrie,66558,564744,0.1179
Transport,21893,216692,0.101
Bau,31455,315272,0.0998
Gesundheit,25969,268268,0.0968
Verwaltung,4353,48930,0.089
Soziales,18779,215271,0.0872
Medien,8425,97021,0.0868
Gastgewerbe,20123,248750,0.0809
Immobilien,2246,29011,0.0774
Detailhandel,31578,415874,0.0759
Umwelt,2699,42858,0.063
Bildung,11776,263656,0.0447
Versicherungen,2032,55001,0.0369
Finanzen,5369,173959,0.0309
Öff. Verwaltung,4052,158122,0.0256
Landwirtschaft,2890,178798,0.0162
